,Shop,Country,Manufacturer,Model,Assembled,Build envelope(W x D x H mm),Image,Technology,Price(US$),Lead time,lat,long,Unnamed: 0,Mode,Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD),Availability
116,,,Aspect,RaFaEl 300 C,,,,,,,,,Click for Details,,60 or 100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",11.02,11.02,14.57,"$250,000 - $499,999",
117,,,Aspect,RaFaEl 300 F,,,,,,,,,Click for Details,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",11.02,11.02,14.57,"$250,000 - $499,999",
118,,,Aspect,RaFaEl 550 C,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",19.69,19.69,18.9,"$500,000 - $999,999",
119,,,Aspect,RaFaEl 550 F,,,,,,,,,Click for Details,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, Rubber-like, PPS, PS",19.69,19.69,18.9,"$500,000 - $999,999",
120,,,atum 3D,DLP Station 5,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,7.56,4.25,9.84,"Less than $49,999",
121,,,Aurora Labs,S-Titanium Pro,,,,,,,,,Click for Details,,300,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Cobalt, Iron, Titanium, Bronze, Brass, Gold, Silver, Aluminum, Refractory Metal",7.87,7.87,19.685,"Less than $49,999",
122,,,BeAM,MAGIC 800,,,,,,,,,Click for Details,3-axis,2000,Directed Energy Deposition,Metal,"Titanium, Nickel",19.7,27.6,55.1,"Greater than $1,000,000",
124,,,BeAM,Modulo 250,,,,,,,,,Click for Details,5-axis,500,Directed Energy Deposition,Metal,"Titanium, Nickel",15.7,9.8,11.81,"$250,000 - $499,999",
125,,,BeAM,Modulo 400,,,,,,,,,Click for Details,5 continuous axis,500,Directed Energy Deposition,Metal,,25.59,15.0,15.75,"Greater than $1,000,000",
126,,,Beijing Longyuan,AFS360,,,,,,,,,Click for Details,,50,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",14.2,14.2,19.7,"$50,000 - $99,999",
127,,,Beijing Longyuan,AFS500,,,,,,,,,Click for Details,,50,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","Silicate, PS",19.7,19.7,19.7,"$100,000 - $249,999",
128,,,Beijing Longyuan,AFS-D600,,,,,,,,,Click for Details,3 axis,1000-3000,Directed Energy Deposition,Metal,"Steel, Titanium, Cobalt, Nickel",23.62,15.74,11.81,Price not reported,
129,,,Beijing Longyuan,AFS-D800,,,,,,,,,Click for Details,3 axis,3000-6000,Directed Energy Deposition,Metal,"Steel, Titanium, Cobalt, Nickel, Aluminum, Refractory Metal, Cobalt, Bronze",35.43,35.43,27.56,Price not reported,
131,,,Beijing Longyuan,AFS-D800V,,,,,,,,,Click for Details,3 axis,3000-6000,Directed Energy Deposition,Metal,"Steel, Titanium, Cobalt, Nickel",31.49,23.62,19.68,Price not reported,
133,,,Beijing Longyuan,AFS-M120,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Nickel, Titanium, Aluminum",4.72,4.72,5.91,"$250,000 - $499,999",
135,,,Beijing Longyuan,AFS-M260,,,,,,,,,Click for Details,,500,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Cobalt, Nickel",10.23,10.23,13.77,"$250,000 - $499,999",
136,,,Beijing Longyuan,LaserCore-5100,,,,,,,,,Click for Details,,55,Powder Bed Fusion (e.g. SLS),"Polymer, Sand",,22.0,22.0,19.7,"$100,000 - $249,999",
138,,,Beijing Longyuan,LaserCore-5300,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand",,27.6,27.6,19.7,"$100,000 - $249,999",
139,,,Beijing Longyuan,LaserCore-7000,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),"Polymer, Sand",,55.11,27.6,19.7,"$100,000 - $249,999",
140,,,BigRep,BigRep ONE v3,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, PETG, PVA, Biopolymer",39.57,39.57,39.57,"Less than $49,999",
141,,,BigRep,BigRep Studio,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, CoPolymere, Laywood, Laybrick",19.7,39.4,19.7,Price not reported,
142,,,BlackBelt,BlackBelt 3D Printer,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,,13.39,13.39,51.18,"Less than $49,999",
143,,,Carbon,Carbon M1,,,,,,,,,Click for Details,Type B Cassette,,Vat Photopolymerization (e.g. SLA),Polymer,,5.55,3.11,12.83,"$100,000 - $249,999",
144,,,Carbon,Carbon M2,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,Resin,7.44,4.64,12.83,"$100,000 - $249,999",
145,,,Carima,DM-200,,,,,,,,,Click for Details,Pixel Size: 100µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",7.87,4.33,9.84,"Less than $49,999",
146,,,Carima,DM-250,,,,,,,,,Click for Details,Pixel Size: 130µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",9.84,5.51,9.84,"Less than $49,999",
147,,,Carima,DS-131,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",5.12,2.87,5.12,"Less than $49,999",
148,,,Carima,IM-110,,,,,,,,,Click for Details,Pixel Size: 57µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",4.33,2.4,5.9,"Less than $49,999",
149,,,Carima,IM-96,,,,,,,,,Click for Details,Pixel Size: 50µm,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, Acrylic",3.77,2.12,5.9,"Less than $49,999",
150,,,Cincinnati Incorporated,603,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",140.0,65.0,36.0,"$500,000 - $999,999",
151,,,Cincinnati Incorporated,606,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",140.0,65.0,72.0,"$500,000 - $999,999",
152,,,Cincinnati Incorporated,608,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",140.0,65.0,98.0,"$500,000 - $999,999",
153,,,Cincinnati Incorporated,806,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite","ABS-Carbon, ABS-Glass, PC-Carbon, PC-Glass, PA-Carbon, PPSU-Carbon, PPS-Carbon, PEI-Carbon, PPE-Carbon, PPE-Glass, PEEK-Carbon,",240.0,90.0,72.0,"Greater than $1,000,000",
154,,,Cincinnati Incorporated,SAAM,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,PLA,7.9,7.4,9.4,Price not reported,
155,,,CMET,ATOMm-4000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",15.7,15.7,11.8,"$100,000 - $249,999",
156,,,CMET,ATOMm-8000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",31.5,23.6,15.7,"$250,000 - $499,999",
157,,,CMET,Mini Meister MM-10,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",1.73,1.1,2.76,"Less than $49,999",
158,,,CMET,Mini Meister MM-12,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",3.15,1.97,3.94,"Less than $49,999",
159,,,CMET,Mini Meister MM-13,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",4.72,2.95,3.94,"Less than $49,999",
160,,,CMET,Mini Meister MM-NX,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",2.64,1.5,3.94,"Less than $49,999",
161,,,CMET,RM-3000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",11.8,11.8,9.8,Price not reported,
162,,,CMET,RM-6000 II,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Silicone-like",24.0,24.0,19.7,Price not reported,
163,,,Concept Laser (GE Additive),M Line Factory,,,,,,,,,Click for Details,4 Quad Laser,1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Nickel",15.7,15.7,16.7,Price not reported,
164,,,Concept Laser (GE Additive),M1 cusing,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel",9.84,9.84,9.84,"$250,000 - $499,999",
165,,,Concept Laser (GE Additive),M2 cusing,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.84,9.84,11.02,"$250,000 - $499,999",
167,,,Concept Laser (GE Additive),M2 cusing Multilaser,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.84,9.84,11.02,"$500,000 - $999,999",
169,,,Concept Laser (GE Additive),Mlab cusing,,,,,,,,,Click for Details,,50,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel, Bronze, Gold",3.54,3.54,3.15,"$100,000 - $249,999",
171,,,Concept Laser (GE Additive),Mlab cusing 200R,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Titanium, Steel, Aluminum, Bronze",3.93,3.93,3.93,"$100,000 - $249,999",
172,,,Concept Laser (GE Additive),Mlab cusing R,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Metal,"Bronze, Cobalt, Gold, Silver, Steel, Titanium",3.54,3.54,3.15,"$100,000 - $249,999",
173,,,Concept Laser (GE Additive),X line 2000R,,,,,,,,,Click for Details,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Titanium, Nickel",31.49608,15.74804,19.68505,"Greater than $1,000,000",
174,,,Coobx,EXIGO 1-110,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, TPU-like",6.05,3.4,4.33,"Less than $49,999",
175,,,Coobx,EXIGO 1-350,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, TPU-like",6.05,3.4,13.78,"Less than $49,999",
176,,,Cosine,AM1,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),"Polymer, Composite",,43.0,34.0,37.0,"$50,000 - $99,999",
177,,,Cubicure,Caligma 200,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,Resin,7.87,3.94,11.81,Price not reported,
179,,,Desktop Metal,Studio System+,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Metal,,11.4,7.4,7.7,"$100,000 - $249,999",
180,,,Digital Metal (Hoeganaes Group),DM P2500,,,,,,,,,Click for Details,,,Binder Jetting,Metal,"Steel, Titanium",7.99,7.09,2.72,Price not reported,
181,,,D-MEC,ACCULAS,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.0,2.0,,Price not reported,
182,,,D-MEC,SCS-1000HD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"Epoxy, Oxycetane",11.8,11.8,10.6,Price not reported,
183,,,D-MEC,SCS-6000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,Epoxy,11.8,11.8,9.8,Price not reported,
184,,,D-MEC,SCS-9000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,Epoxy,39.4,31.5,19.7,Price not reported,
185,,,DMG MORI,LASERTEC 30 SLM 2nd Gen,,,,,,,,,Click for Details,,600-1000,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Cobalt, Titanium, Aluminum, Nickel",11.81,11.81,11.81,"$500,000 - $999,999",
186,,,DPP,XLS DPE 3D Printer,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"PLA, ABS, PA, PVA, HIPS, TPU",43.31,43.31,7.87,"Less than $49,999",
187,,,DWS Systems,DFAB Chairside Version,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Ceramic,,1.85,0.71,1.57,"Less than $49,999",
188,,,DWS Systems,DFAB Desktop Version,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Ceramic,,1.85,0.71,1.57,"Less than $49,999",
189,,,DWS Systems,DigitalWax 009D,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,1.97,1.46,3.94,"Less than $49,999",
190,,,DWS Systems,DigitalWax 009J,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,1.97,1.46,3.94,"Less than $49,999",
191,,,DWS Systems,DigitalWax 020D,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.12,5.12,3.54,"Less than $49,999",
192,,,DWS Systems,DigitalWax 020X,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.12,5.12,3.54,"Less than $49,999",
193,,,DWS Systems,DigitalWax 028D,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,3.54,3.54,3.54,"$50,000 - $99,999",
194,,,DWS Systems,DigitalWax 028J,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,2.56,2.56,3.54,"Less than $49,999",
195,,,DWS Systems,DigitalWax 028J Plus,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,3.54,3.54,3.54,"$50,000 - $99,999",
196,,,DWS Systems,DigitalWax 028JE,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,2.56,2.56,3.54,"$50,000 - $99,999",
197,,,DWS Systems,DigitalWax 029D,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.91,5.91,3.94,"$100,000 - $249,999",
198,,,DWS Systems,DigitalWax 029J,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,4.33,4.33,3.94,"$50,000 - $99,999",
199,,,DWS Systems,DigitalWax 029J Plus,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.91,5.91,3.94,"$100,000 - $249,999",
200,,,DWS Systems,DigitalWax 029X,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,5.91,5.91,7.87,"$100,000 - $249,999",
201,,,DWS Systems,DigitalWax 030D HR,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,11.81,11.81,11.81,"$100,000 - $249,999",
202,,,DWS Systems,DigitalWax 030D SR,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,9.84,9.84,9.84,"$100,000 - $249,999",
203,,,DWS Systems,DigitalWax 030J,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,11.81,11.81,11.81,"$250,000 - $499,999",
204,,,DWS Systems,DigitalWax 030X,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax",Wax-like,11.81,11.81,11.81,"$250,000 - $499,999",
205,,,DWS Systems,XFAB 2000,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax","ABS-like, PP-like, Acrylic, Rubber-like, Wax-like",7.09,7.09,7.09,"Less than $49,999",
206,,,DWS Systems,XFAB 2500 HD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",7.09,7.09,7.09,"Less than $49,999",
207,,,DWS Systems,XFAB 2500 PD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",7.09,7.09,7.09,"Less than $49,999",
208,,,DWS Systems,XFAB 2500 SD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",7.09,7.09,7.09,"Less than $49,999",
209,,,DWS Systems,XFAB 3500 HD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",5.51,5.51,7.09,"Less than $49,999",
210,,,DWS Systems,XFAB 3500 PD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",6.3,6.3,7.09,"Less than $49,999",
211,,,DWS Systems,XFAB 3500 SD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",5.51,5.51,7.09,"Less than $49,999",
212,,,DWS Systems,XPRO S,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like, Rubber-like",11.81,11.81,11.81,"$100,000 - $249,999",
213,,,Dynamical Tools,DT60,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, HIPS, PC, PA, ASA, TPU, PP",23.62,17.72,17.72,"Less than $49,999",
214,,,Dynamical Tools,DT600+,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, HIPS, PC, PA, ASA, TPU, PP",23.62,17.72,17.72,"Less than $49,999",
215,,,EnvisionTEC,3Dent,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer","ABS-like, Gypsum-like",10.5,7.0,3.0,"$50,000 - $99,999",
216,,,EnvisionTEC,Aria,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax, Composite",Wax-like,2.56,1.57,3.94,"Less than $49,999",
217,,,EnvisionTEC,Micro Plus Advantage,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",2.36,1.77,3.94,Price not reported,
218,,,EnvisionTEC,Micro Plus cDLM,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,1.77,1.1,2.95,Price not reported,
219,,,EnvisionTEC,Micro Plus HD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",1.77,1.1,3.94,Price not reported,
220,,,EnvisionTEC,Micro Plus XL,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,4.72,2.95,3.35,"Less than $49,999",
221,,,EnvisionTEC,Perfactory 3 DSP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,5.5,4.1,9.06,"$50,000 - $99,999",
223,,,EnvisionTEC,Perfactory 4 LED,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,6.3,3.9,9.06,"$100,000 - $249,999",
225,,,EnvisionTEC,Perfactory 4 LED XXL,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer","ABS-like, Wax-like, Gypsum-like",9.06,5.67,7.87,"$100,000 - $249,999",
226,,,EnvisionTEC,Perfactory 4 Mini,,,,,,,,,Click for Details,"ERM, Lens f = 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",2.5,1.6,8.66,"$50,000 - $99,999",
228,,,EnvisionTEC,Perfactory 4 Mini XL,,,,,,,,,Click for Details,"ERM, Lens f = 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",4.5,2.8,8.66,"$50,000 - $99,999",
230,,,EnvisionTEC,Perfactory 4 Mini XL LED,,,,,,,,,Click for Details,"Lens f + 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",4.53,2.83,8.66,Price not reported,
232,,,EnvisionTEC,Perfactory Aureus PLUS,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax-like,2.36,1.77,3.15,"Less than $49,999",
233,,,EnvisionTEC,SLCOM1,,,,,,,,,Click for Details,,,Sheet Lamination,Composite,,30.0,24.0,24.0,Price not reported,
234,,,EnvisionTEC,ULTRA 3SP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like",10.5,6.9,7.6,"Less than $49,999",
235,,,EnvisionTEC,ULTRA 3SP High Definition,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS-like, PP-like",10.5,6.9,7.6,"$50,000 - $99,999",
236,,,EnvisionTEC,ULTRA 3SP Ortho,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,10.5,6.9,3.0,"Less than $49,999",
237,,,EnvisionTEC,Vector 3SP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,11.8,7.9,7.9,Price not reported,
238,,,EnvisionTEC,Vector 3SP Ortho,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,11.81,11.81,2.76,Price not reported,
239,,,EnvisionTEC,Vector HD 3SP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,11.81,6.89,10.83,Price not reported,
240,,,EnvisionTEC,Vida,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",Gypsum-like,5.511814,3.1102380000000003,3.93701,"Less than $49,999",
241,,,EnvisionTEC,Vida cDLM,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.78,2.13,3.94,"Less than $49,999",
242,,,EnvisionTEC,Vida HD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",,3.78,2.13,3.94,"Less than $49,999",
243,,,EnvisionTEC,Vida HD cDLM,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,3.54,1.97,3.94,Price not reported,
244,,,EnvisionTEC,Vida UHD,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",,2.49,1.4,3.94,Price not reported,
245,,,EnvisionTEC,Vida UHD cDLM,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,,2.49,1.4,3.94,Price not reported,
246,,,EnvisionTEC,Xede 3SP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,18.0,18.0,18.0,"$100,000 - $249,999",
247,,,EnvisionTEC,Xede 3SP Ortho,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",18.0,18.0,4.0,"$100,000 - $249,999",
248,,,EnvisionTEC,Xtreme 3SP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS-like,10.0,15.0,13.0,"$100,000 - $249,999",
249,,,EnvisionTEC,Xtreme 3SP Ortho,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS-like, Wax-like",10.0,14.25,4.0,"$100,000 - $249,999",
250,,,EnvisionTEC,Xtreme HD 3SP,,,,,,,,,Click for Details,,,Vat Photopolymerization (e.g. SLA),"Polymer, Ceramic","ABS-like, Gypsum-like-like",8.5,15.0,14.02,Price not reported,
251,,,EOS,EOS M 100,,,,,,,,,Click for Details,,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Steel, Titanium",3.94,3.94,3.7,Price not reported,
252,,,EOS,EOS M 290,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.85,9.85,12.8,"$500,000 - $999,999",
253,,,EOS,EOS M 300-4,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Nickel, Steel",11.81,11.81,15.75,"$500,000 - $999,999",
254,,,EOS,EOS M 400,,,,,,,,,Click for Details,,1000,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",15.8,15.8,15.8,"Greater than $1,000,000",
255,,,EOS,EOS M 400-4,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",15.8,15.8,15.8,"Greater than $1,000,000",
256,,,EOS,EOS P 396,,,,,,,,,Click for Details,,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",,13.4,13.4,23.6,"$250,000 - $499,999",
257,,,EOS,EOS P 500,,,,,,,,,Click for Details,,70,Powder Bed Fusion (e.g. SLS),Polymer,"PA, PEKK",19.69,12.99,15.75,"$500,000 - $999,999",
258,,,EOS,EOS P 770,,,,,,,,,Click for Details,,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15.0,22.9,"$500,000 - $999,999",
259,,,EOS,EOS P 810,,,,,,,,,Click for Details,,70,Powder Bed Fusion (e.g. SLS),Polymer,PEKK,27.56,14.96,14.96,"$500,000 - $999,999",
260,,,EOS,EOSINT M 280,,,,,,,,,Click for Details,,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.85,9.85,12.8,"$250,000 - $499,999",
261,,,EOS,EOSINT P 800,,,,,,,,,Click for Details,,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",PEEK,27.6,15.0,22.05,"$500,000 - $999,999",
263,,,EOS,FORMIGA P 110 Velocis,,,,,,,,,Click for Details,,30,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",7.87,9.84,12.99,"$100,000 - $249,999",
264,,,EOS,Precious M 080,,,,,,,,,Click for Details,,100,Powder Bed Fusion (e.g. SLS),Metal,"Gold, Silver, Platinum",3.15,3.15,3.94,"$100,000 - $249,999",
265,,,EVO-tech,EL-102,,,,,,,,,Click for Details,,,Material Extrusion (e.g. FDM),Polymer,"ABS, PPS, ASA, PLA, PET, TPE, HIPS",19.69,15.75,20.08,Price not reported,
266,,,ExOne,Exerial,,,,,,,,,Click for Details,,,Binder Jetting,Sand,"Silicate, Zircon, Chromite",86.61421999999999,47.24412,27.559070000000002,"Greater than $1,000,000",
